Region,Lake code,Date of collection,TP (ug/L),SRP (ug/L),TN (ug/L),NO3-N (ug/L),NH4-N (ug/L),SiO2 (mg/L),Sodium (mg/L),Potassium (mg/L),Magnesium (mg/L),Calcium (mg/L),Chloride (mg/L),Sulphate (mg/L),Total Alkalinity (meq/L),Chlorophyll a (ug/L),DOC (ppm)
Russia,NEER1,01.05.13,54.68,,,150,33.68,3.49,3.68,0.83,1.95,7.04,1.06,3.35,0.4,0.05,6.98
Russia,NEER2,01.05.13,194.03,148.74,,300,4.17,3.8,4.79,0.51,1.48,5.43,1.27,2.65,0.2,0.8,9.66
Russia,NEER3,01.05.13,48.94,36.61,,50,21.69,1.09,5.57,3.61,2.18,9.54,0.77,20.44,0.3,0.45,4.65
Russia,NEER4,01.05.13,34.89,18.54,,70,BDL,1.11,2.82,0.61,1.66,6.58,0.79,2.28,0.4,0.16,6.69
Alaska,Jan Lake,01.08.13,4.59,BDL,770,660,BDL,0.6,3.09,1.66,3.9,14.57,0.77,1.38,0.8,0.68,13.72
Alaska,Rup-13,01.08.13,3.46,BDL,600,60,17.41,1.38,1.96,0.31,3.02,23.86,0.63,12.89,1.25,1.67,8.39
Alaska,ACE-13-W3,01.08.13,28.87,1.92,1850,30,BDL,3.62,7.88,1.4,12.79,24.65,2.21,8.82,2,,48.24
Alaska,Lake3-13,01.08.13,6.29,BDL,410,40,BDL,0.65,1.25,0.26,0.5,7.29,0.58,8.17,0.75,0.82,6.2
Greenland,AT1,01.04.11,13.9,4.26,,,40.14,1.5,2.62,0.42,1.39,3.42,2.54,3.11,0.5,0.98,1.27
Greenland,AT2,01.04.11,8.05,BDL,,1272,0,1.2,2.71,0.38,2.02,4.71,2.43,3.41,0.55,0.34,0.94
Greenland,AT6,01.04.14,4.89,BDL,410,60,0,1.69,4.3,0.47,3.16,12.78,4.9,13.04,0.3,0.17,1.44
Norway,Nor1,12.03.14,7.51,BDL,,,,4.75,,,,,,,0,,10.48
Norway,Nor2,12.03.14,60.77,,,160,30.49,1.69,4.7,0.84,2.16,3.29,3.47,2.69,0.3,,3.94
Norway,Nor3,14.03.14,,5.71,,100,17.42,2.34,4.58,0.99,2.16,4.82,2.22,2.6,,,6.47
