"","domainID","siteID","namedLocation","decimalLatitude","decimalLongitude","elevation","aquaticSiteType"
"1","D01","HOPB","HOPB.AOS.S2",42.471741,-72.330664,213.6,"stream"
"2","D02","LEWI","LEWI.AOS.S2",39.094218,-77.981434,126.8,"stream"
"3","D02","POSE","POSE.AOS.S2",38.895193,-78.147862,271.9,"stream"
"4","D03","BARC","BARC.AOS.buoy.c0",29.675982,-82.008414,27,"lake"
"5","D03","FLNT","FLNT.AOS.buoy.c0",31.184609,-84.438438,30,"river"
"6","D03","SUGG","SUGG.AOS.buoy.c0",29.688149,-82.017318,30,"lake"
"7","D04","CUPE","CUPE.AOS.S2",18.110265,-66.986411,149.9,"stream"
"8","D04","GUIL","GUIL.AOS.S2",18.174097,-66.799717,546.3,"stream"
"9","D05","CRAM","CRAM.AOS.buoy.c1",46.210592,-89.476861,509,"lake"
"10","D05","CRAM","CRAM.AOS.buoy.c2",46.210592,-89.476861,509,"lake"
"11","D05","LIRO","LIRO.AOS.buoy.c1",45.998322,-89.704766,502,"lake"
"12","D06","KING","KING.AOS.S2",39.105069,-96.603387,324.9,"stream"
"13","D06","MCDI","MCDI.AOS.S2",38.946553,-96.442948,371.2,"stream"
"14","D07","LECO","LECO.AOS.S2",35.692201,-83.504427,536.3,"stream"
"15","D07","WALK","WALK.AOS.S2",35.957219,-84.279211,261.7,"stream"
"16","D08","BLWA","BLWA.AOS.buoy.c0",32.54067,-87.79806,20,"river"
"17","D08","MAYF","MAYF.AOS.S2",32.961588,-87.408223,70,"stream"
"18","D08","TOMB","TOMB.AOS.buoy.c0",31.85382,-88.1573,20,"river"
"19","D09","PRLA","PRLA.AOS.buoy.c0",47.159718,-99.118723,561,"lake"
"20","D09","PRPO","PRPO.AOS.buoy.c0",47.130692,-99.253482,590,"lake"
"21","D10","ARIK","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"stream"
"22","D11","BLUE","BLUE.AOS.S2",34.448448,-96.622796,288.3,"stream"
"23","D11","PRIN","PRIN.AOS.S2",33.37843,-97.781508,251.1,"stream"
"24","D12","BLDE","BLDE.AOS.S2",44.953606,-110.589396,2023.3,"stream"
"25","D13","COMO","COMO.AOS.S2",40.034937,-105.544424,3023,"stream"
"26","D13","WLOU","WLOU.AOS.S2",39.890674,-105.911293,2901.2,"stream"
"27","D14","SYCA","SYCA.AOS.S2",33.750886,-111.508124,643.1,"stream"
"28","D15","REDB","REDB.AOS.S2",40.783659,-111.798106,1690.9,"stream"
"29","D16","MART","MART.AOS.S2",45.79233,-121.929416,333.7,"stream"
"30","D16","MCRA","MCRA.AOS.S2",44.258957,-122.165861,864.1,"stream"
"31","D17","BIGC","BIGC.AOS.S2",37.057672,-119.255375,1129.9,"stream"
"32","D17","TECR","TECR.AOS.S2",36.955224,-119.023553,2002.8,"stream"
"33","D18","OKSR","OKSR.AOS.S2",68.669659,-149.143501,767.4,"stream"
"34","D18","TOOK","TOOK.AOS.inlet",68.625566,-149.59536,717.3,"lake"
"35","D18","TOOK","TOOK.AOS.buoy.c1",68.630699,-149.611405,715,"lake"
"36","D18","TOOK","TOOK.AOS.buoy.c2",68.630699,-149.611405,715,"lake"
"37","D18","TOOK","TOOK.AOS.outlet",68.640502,-149.596089,717,"lake"
"38","D18","TOOK","TOOK.AOS.buoy.c0",68.630699,-149.611405,715,"lake"
"39","D19","CARI","CARI.AOS.S2",65.15308,-147.501997,225.7,"stream"
